MQ_KURZNAME;DET_NAME_ALT;DET_NAME_NEU;DET_ID15;MQ_ID15;STRASSE;POSITION;POS_DETAIL;RICHTUNG;SPUR;annotation;LÄNGE (WGS84);BREITE (WGS84);INBETRIEBNAHME;ABBAUDATUM;DEINSTALLIERT;KOMMENTAR
TE001;TEU00002_Det0;TE001_Det_HF1;1.00101E+14;1.00201E+14;A115;AS Spanische Allee – Brücke;AK Zehlendorf;Südwest;HF_R;Hauptfahrbahn rechte Spur;13.19257786;52.43386833;18.02.03;;;
TE001;TEU00002_Det1;TE001_Det_HF2;1.00101E+14;1.00201E+14;A115;AS Spanische Allee – Brücke;AK Zehlendorf;Südwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.19257786;52.43386833;18.02.03;;;
TE002;TEU00002_Det2;TE002_Det_HF1;1.00101E+14;1.00201E+14;A115;AS Spanische Allee – Brücke;AD Funkturm;Nordost;HF_R;Hauptfahrbahn rechte Spur;13.1927467;52.43381256;18.02.03;;;
TE002;TEU00002_Det3;TE002_Det_HF2;1.00101E+14;1.00201E+14;A115;AS Spanische Allee – Brücke;AD Funkturm;Nordost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.1927467;52.43381256;18.02.03;;;
TE004;TEU00004_Det0;TE004_Det_HF1;1.00101E+14;1.00201E+14;Clayallee;zwischen Scharfestraße und Propst-Süssmilch-Weg, in Höhe Haus Nr. 343;Potsdamer Chaussee;Süd;HF_R;Hauptfahrbahn rechte Spur;13.26130077;52.43664151;18.02.03;;;
TE004;TEU00004_Det1;TE004_Det_HF2;1.00101E+14;1.00201E+14;Clayallee;zwischen Scharfestraße und Propst-Süssmilch-Weg, in Höhe Haus Nr. 343;Potsdamer Chaussee;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.26130077;52.43664151;18.02.03;;;
TE005;TEU00005_Det0;TE005_Det_HF1;1.00101E+14;1.00201E+14;Berliner Straße;zwischen Seehofstraße und Gartenstraße, in Höhe Haus Nr. 10 (gegenüber);Clayallee;West;HF_R;Hauptfahrbahn rechte Spur;13.26310552;52.43511242;19.02.03;;;
TE005;TEU00005_Det1;TE005_Det_HF2;1.00101E+14;1.00201E+14;Berliner Straße;zwischen Seehofstraße und Gartenstraße, in Höhe Haus Nr. 10 (gegenüber);Clayallee;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.26310552;52.43511242;19.02.03;;;
TE006;TEU00006_Det0;TE006_Det_HF1;1.00101E+14;1.00201E+14;Teltower Damm;zwischen Kirchstraße und Potsdamer Straße, in Höhe Haus Nr. 13 (gegenüber);Berliner Straße;Nord;HF_R;Hauptfahrbahn rechte Spur;13.25988057;52.43374142;18.02.03;;;
TE006;TEU00006_Det1;TE006_Det_HF2;1.00101E+14;1.00201E+14;Teltower Damm;zwischen Kirchstraße und Potsdamer Straße, in Höhe Haus Nr. 13 (gegenüber);Berliner Straße;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.25988057;52.43374142;18.02.03;;;
TE009;TEU00009_Det0;TE009_Det_HF1;1.00101E+14;1.00201E+14;Großbeerenstraße;zwischen Körtingstraße und Wilhelm-Pasewaldt-Straße, Ecke Willhelm-Pasewald-Straße;Friedenstraße;Nordost;HF_R;Hauptfahrbahn rechte Spur;13.37926717;52.43614059;19.02.03;;;
TE009;TEU00009_Det1;TE009_Det_HF2;1.00101E+14;1.00201E+14;Großbeerenstraße;zwischen Körtingstraße und Wilhelm-Pasewaldt-Straße, Ecke Willhelm-Pasewald-Straße;Friedenstraße;Nordost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.37926717;52.43614059;19.02.03;;;
TE010;TEU00010_Det0;TE010_Det_HF1;1.00101E+14;1.00201E+14;Marienfelder Allee;zwischen Domagkstraße und Malteser Straße, in Höhe Haus Nr. 130b;stadtauswärts;Südwest;HF_R;Hauptfahrbahn rechte Spur;13.36441331;52.41487617;18.02.03;;;
TE011;TEU00011_Det0;TE011_Det_HF1;1.00101E+14;1.00201E+14;Marienfelder Allee;zwischen Ahrensdorfer Straße und Diedersdorfer Weg, ca. 330 m vor Nahmitzer Damm, 4. LM vor Diedersdorfer Weg (LM230);stadteinwärts;Nord;HF_R;Hauptfahrbahn rechte Spur;13.35974087;52.40959836;30.09.07;;;
TE011;TEU00011_Det1;TE011_Det_HF2;1.00101E+14;1.00201E+14;Marienfelder Allee;zwischen Ahrensdorfer Straße und Diedersdorfer Weg, ca. 330 m vor Nahmitzer Damm, 4. LM vor Diedersdorfer Weg (LM230);stadteinwärts;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.35974087;52.40959836;30.09.07;;;
TE012;TEU00012_Det0;TE012_Det_HF1;1.00101E+14;1.00201E+14;Mariendorfer Damm;zwischen Kettinger Straße und Buckower Chaussee, in Höhe Haus Nr. 434;Buckower Chaussee;Süd;HF_R;Hauptfahrbahn rechte Spur;13.4000522;52.41615714;18.02.03;;;
TE012;TEU00012_Det1;TE012_Det_HF2;1.00101E+14;1.00201E+14;Mariendorfer Damm;zwischen Kettinger Straße und Buckower Chaussee, in Höhe Haus Nr. 434;Buckower Chaussee;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.4000522;52.41615714;18.02.03;;;
TE013;TEU00013_Det0;TE013_Det_HF1;1.00101E+14;1.00201E+14;Lichtenrader Damm;zwischen Reichnerweg und Baldesheimer Weg, in Höhe Haus Nr. 13, Ecke Baldesheimer Weg;Marienfelder Chaussee;Nord;HF_R;Hauptfahrbahn rechte Spur;13.40209827;52.41316159;18.02.03;;;
TE013;TEU00013_Det1;TE013_Det_HF2;1.00101E+14;1.00201E+14;Lichtenrader Damm;zwischen Reichnerweg und Baldesheimer Weg, in Höhe Haus Nr. 13, Ecke Baldesheimer Weg;Marienfelder Chaussee;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.40209827;52.41316159;18.02.03;;;
TE014;TEU00014_Det0;TE014_Det_HF1;1.00101E+14;1.00201E+14;Mariendorfer Damm;zwischen Hundsteinweg und Friedenstraße, in Höhe Haus Nr. 161,  vor Friedenstraße;Reißeckstraße;Nord;HF_R;Hauptfahrbahn rechte Spur;13.38824115;52.43746263;19.02.03;;;
TE014;TEU00014_Det1;TE014_Det_HF2;1.00101E+14;1.00201E+14;Mariendorfer Damm;zwischen Hundsteinweg und Friedenstraße, in Höhe Haus Nr. 161,  vor Friedenstraße;Reißeckstraße;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.38824115;52.43746263;19.02.03;;;
TE015;TEU00015_Det1;TE015_Det_HF1;1.00101E+14;1.00201E+14;Neuköllner Straße;2. LM nach Stubenrauchstraße, gegenüber Haus Nr. 268;Fritz-Erler-Allee;Nordwest;HF_R;Hauptfahrbahn rechte Spur;13.48488437;52.42469401;19.02.03;;;
TE015;TEU00015_Det2;TE015_Det_HF2;1.00101E+14;1.00201E+14;Neuköllner Straße;2. LM nach Stubenrauchstraße, gegenüber Haus Nr. 268;Fritz-Erler-Allee;Nordwest;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.48488437;52.42469401;19.02.03;;;
TE016;TEU00015_Det0;TE016_Det_LA;1.00101E+14;1.00201E+14;Neuköllner Straße;2. LM nach Stubenrauchstraße, gegenüber Haus Nr. 268 (Linksabbieger);Fritz-Erler-Allee;Nordwest;LA;Linksabbieger;13.48491532;52.42470935;19.02.03;;;
TE017;TEU00017_Det0;TE017_Det_HF1;1.00101E+14;1.00201E+14;Buschkrugallee;zwischen Zeile 1 und Späthstraße;Späthstraße;Nord;HF_R;Hauptfahrbahn rechte Spur;13.45291236;52.4510216;19.02.03;;;
TE017;TEU00017_Det1;TE017_Det_HF2;1.00101E+14;1.00201E+14;Buschkrugallee;zwischen Zeile 1 und Späthstraße;Späthstraße;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.45291236;52.4510216;19.02.03;;;
TE018;TEU00018_Det0;TE018_Det_HF1;1.00101E+14;1.00201E+14;Gradestraße;zwischen Tempelhofer Weg und A100 AS Gradestraße, in Höhe der Bahnunterführung;AS Gradestraße;West;HF_R;Hauptfahrbahn rechte Spur;13.41975725;52.45218494;19.02.03;;;
TE018;TEU00018_Det1;TE018_Det_HF2;1.00101E+14;1.00201E+14;Gradestraße;zwischen Tempelhofer Weg und A100 AS Gradestraße, in Höhe der Bahnunterführung;AS Gradestraße;West;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.41975725;52.45218494;19.02.03;;;
TE019;TEU00018_Det2;TE019_Det_HF1;1.00101E+14;1.00201E+14;Gradestraße;zwischen A100 AS Gradestraße und Tempelhofer Weg, in Höhe der Bahnunterführung;Tempelhofer Weg;Ost;HF_R;Hauptfahrbahn rechte Spur;13.41966228;52.45207024;19.02.03;;;
TE019;TEU00018_Det3;TE019_Det_HF2;1.00101E+14;1.00201E+14;Gradestraße;zwischen A100 AS Gradestraße und Tempelhofer Weg, in Höhe der Bahnunterführung;Tempelhofer Weg;Ost;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.41966228;52.45207024;19.02.03;;;
TE021;TEU00021_Det0;TE021_Det_HF1;1.00101E+14;1.00201E+14;Roedernallee;zwischen Alt-Reinickendorf und Bahnunterführung;;Nord;HF_R;Hauptfahrbahn rechte Spur;13.34798158;52.57670433;19.02.03;;;
TE021;TEU00021_Det1;TE021_Det_HF2;1.00101E+14;1.00201E+14;Roedernallee;zwischen Alt-Reinickendorf und Bahnunterführung;;Nord;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34798158;52.57670433;19.02.03;;;
TE022;TEU00022_Det0;TE022_Det_HF1;1.00101E+14;1.00201E+14;Roedernallee;zwischen Bahnunterführung und Alt-Reinickendorf;;Süd;HF_R;Hauptfahrbahn rechte Spur;13.34778595;52.57754524;18.02.03;;;
TE022;TEU00022_Det1;TE022_Det_HF2;1.00101E+14;1.00201E+14;Roedernallee;zwischen Bahnunterführung und Alt-Reinickendorf;;Süd;HF_2vR;Hauptfahrbahn, 2. Spur von rechts;13.34778595;52.57754524;18.02.03;;;
