mq_name;tag;stunde;qualitaet;q_kfz_mq_hr;v_kfz_mq_hr;q_pkw_mq_hr;v_pkw_mq_hr;q_lkw_mq_hr;v_lkw_mq_hr
TE001;01.01.2024;0;1.0;127;63;126;63;1;70
TE001;01.01.2024;1;1.0;455;60;455;60;0;-1
TE001;01.01.2024;2;1.0;475;61;475;61;0;-1
TE001;01.01.2024;3;1.0;285;64;284;64;1;69
TE001;01.01.2024;4;1.0;167;75;159;75;8;74
TE001;01.01.2024;5;1.0;115;67;111;67;3;71
TE001;01.01.2024;6;1.0;97;77;93;77;4;76
TE001;01.01.2024;7;1.0;102;66;93;65;9;68
TE001;01.01.2024;8;1.0;197;71;188;70;9;81
TE001;01.01.2024;9;1.0;412;58;399;58;13;68
TE001;01.01.2024;10;1.0;874;49;859;49;15;57
TE001;01.01.2024;12;1.0;2087;39;2071;39;15;61
TE001;01.01.2024;14;1.0;2039;38;2031;38;8;58
TE001;01.01.2024;15;1.0;1677;37;1666;37;11;53
TE001;01.01.2024;16;1.0;1283;55;1270;55;13;78
TE001;01.01.2024;17;1.0;1022;55;1015;55;7;81
TE001;01.01.2024;18;1.0;715;64;706;64;9;72
TE001;01.01.2024;19;1.0;495;70;486;70;9;71
TE001;01.01.2024;20;1.0;403;67;396;67;7;77
TE001;01.01.2024;21;1.0;316;58;301;58;14;67
TE001;01.01.2024;22;1.0;235;52;222;51;13;60
TE001;01.01.2024;23;1.0;161;53;153;53;8;62
TE001;02.01.2024;0;1.0;96;71;84;69;12;84
TE001;02.01.2024;1;1.0;66;55;53;51;13;72
TE001;02.01.2024;2;1.0;73;59;62;58;11;69
TE001;02.01.2024;3;1.0;110;63;70;62;39;67
TE001;02.01.2024;4;1.0;171;65;138;63;33;72
TE001;02.01.2024;5;1.0;425;69;358;68;67;73
TE001;02.01.2024;6;1.0;703;64;643;64;60;72
TE001;02.01.2024;7;1.0;942;59;861;58;81;72
TE001;02.01.2024;8;1.0;964;63;866;62;98;71
TE001;02.01.2024;9;1.0;1061;63;979;62;82;70
TE001;02.01.2024;10;1.0;1110;64;910;69;201;41
TE001;02.01.2024;11;1.0;1156;61;1057;61;99;60
TE001;02.01.2024;12;1.0;1362;48;1266;47;96;62
TE001;02.01.2024;13;1.0;1459;50;1379;48;80;70
TE001;02.01.2024;14;1.0;1402;49;1341;49;61;60
TE001;02.01.2024;15;1.0;1249;60;1174;60;75;57
TE001;02.01.2024;16;1.0;1207;54;1144;54;63;57
TE001;02.01.2024;17;1.0;1265;46;1226;46;39;60
TE001;02.01.2024;18;1.0;961;45;923;45;38;47
TE001;02.01.2024;19;1.0;669;56;642;57;27;43
TE001;02.01.2024;20;1.0;492;61;477;61;15;60
TE001;02.01.2024;21;1.0;466;50;403;56;63;11
TE001;02.01.2024;22;1.0;444;48;361;57;83;8
TE001;02.01.2024;23;1.0;368;31;296;38;72;3
TE001;03.01.2024;0;1.0;137;42;111;51;26;3
TE001;03.01.2024;1;1.0;103;52;85;60;18;12
TE001;03.01.2024;3;1.0;127;52;95;58;32;34
TE001;03.01.2024;4;1.0;205;48;180;50;24;39
TE001;03.01.2024;5;1.0;470;54;451;53;20;65
TE001;03.01.2024;6;1.0;866;65;798;64;67;77
TE001;03.01.2024;7;1.0;1095;52;997;49;98;75
TE001;03.01.2024;8;1.0;1212;25;1167;24;45;51
TE001;03.01.2024;9;1.0;1159;22;1109;20;50;78
TE001;03.01.2024;10;1.0;1487;46;1337;47;150;40
TE001;03.01.2024;11;1.0;1700;51;1587;50;113;76
TE001;03.01.2024;12;1.0;1725;40;1639;39;86;65
TE001;03.01.2024;13;1.0;1856;39;1766;38;89;65
TE001;03.01.2024;14;1.0;2085;31;2030;30;55;55
TE001;03.01.2024;15;1.0;1751;56;1686;55;65;81
TE001;03.01.2024;16;1.0;1727;53;1678;52;49;79
TE001;03.01.2024;17;1.0;1614;45;1585;45;29;74
TE001;03.01.2024;18;1.0;1266;50;1223;50;43;70
TE001;03.01.2024;19;1.0;982;55;938;54;44;73
TE001;03.01.2024;20;1.0;759;45;744;45;15;61
TE001;03.01.2024;21;1.0;636;45;623;45;13;57
TE001;03.01.2024;22;1.0;496;52;483;51;13;71
TE001;03.01.2024;23;1.0;307;64;295;63;12;78
TE001;04.01.2024;2;1.0;84;74;76;73;8;82
TE001;04.01.2024;3;1.0;116;73;91;72;25;79
TE001;04.01.2024;4;1.0;163;71;108;69;55;76
TE001;04.01.2024;5;1.0;410;66;365;65;45;77
TE001;04.01.2024;6;1.0;717;63;651;62;66;75
TE001;04.01.2024;7;1.0;851;68;747;68;103;70
TE001;04.01.2024;8;1.0;1126;60;823;72;303;27
TE001;04.01.2024;9;1.0;1276;56;821;72;455;24
TE001;04.01.2024;10;1.0;1243;58;877;72;366;26
TE001;04.01.2024;11;1.0;1221;57;903;66;318;30
